06-01-2024,"Alumani Day",,
08-01-2024,"Beginning of the Term",,
08-01-2024,Illusion,,
12-01-2024,"Swami Vivekanand Jayanti",,
15-01-2024,"Window period for Spurthi and Society activities",,
2024-01-22,Event4,303,"13:00:00 - 15:00:00",new
29-01-2024,"Subject Group advisors meeting ",,
31-01-2024,"Sort activity Energy Literacy",,
05-02-2024,"VESLit week",,
2024-02-07,Praxis,302,"13:00:00 - 15:00:00",new
09-02-2024,"First defaulter's List",,
10-02-2024,"SatyaNarayan Pooja",,
22-02-2024,"Blood Donation Drive",,
2024-02-22,Event1,307,"10:00:00 - 12:00:00",new
26-02-2024,"Midterm Test",,
2024-02-27,Event6,308,"10:00:00 - 13:00:00",new
01-03-2024,"Photo Session",,
05-03-2024,Praxis,,
2024-03-07,Event3,303,"13:00:00 - 15:00:00",new
11-03-2024,"Second defaulter's List",,
11-03-2024,Octaves,,
11-03-2024,"LBS Finals",,
2024-03-12,Bolt,306,"10:00:00 - 12:00:00",new
13-03-2024,"Open Day for Mid term",,
14-03-2024,"Umeed Utsav and Annual day",,
23-03-2024,"Technology day",,
25-03-2024,"Professional Society Symposium",,
25-03-2024,"Subject Group Advisors Meetings",,
29-03-2024,"Critical Defaulters List",,
2024-04-17,Praxis,308,"10:00:00 - 12:00:00",new
18-04-2024,"DAB meetings",,
2024-04-25,BuzzPro,306,"10:00:00 - 12:00:00",new
03-05-2024,"Last Instructional Day and Term grant",,
05-05-2024,"Conduction of Oral/Practical Examination",,
13-05-2024,"BE and MCA Farewell",,
13-05-2024,"Term End day",,
16-05-2024,"Provisional results",,
17-05-2024,"Open Day for ESE",,
22-05-2024,"Commencement of Theory exams - BE :-Sem II Sem IV Sem VI Sem VIII ME and MCA :- Sem II",,
29-05-2024,"Display of final results",,
06-06-2024,Re-exams,,
24-06-2024,"Re-exam result declaration",,
01-07-2024,"Special Exam - Sem - I to Sem - 8",,
15-07-2024,"Commencement of New Term",,
26-07-2024,"Special exam result",,
